dist,height
573.0,nan
573.0070710678118,nan
573.0989242134161,nan
573.3990889625134,nan
573.8554829045632,nan
574.3853032159062,nan
574.6592953323625,nan
574.9277683989525,nan
575.1847171441631,nan
575.4339599421519,nan
575.6781207963794,nan
575.9368752101511,nan
576.2075278642593,nan
576.4812109961908,nan
576.7381867262083,nan
576.9803021242112,nan
577.2234207699447,nan
577.4714332154243,nan
577.7403351147361,nan
578.0062039510991,nan
578.2730682718887,nan
578.5230609266963,nan
578.7731531245931,nan
579.0132727362061,nan
579.2622499151663,nan
579.5251969318941,nan
580.059128203964,nan
580.5521373133703,nan
581.0532297247751,nan
581.5920536543948,nan
582.101085264956,nan
582.5960950912337,nan
583.1190494118766,nan
583.6300380996495,nan
584.1400352333375,nan
584.402025434106,nan
584.6640154320886,nan
584.9290116103557,nan
585.1890100090204,nan
585.4460122529266,nan
585.6970196896752,nan
585.9510145548525,nan
586.2000168560498,nan
586.4600133729502,nan
586.7120202012686,nan
586.9660179006044,nan
587.2200187411972,nan
587.4830117378948,nan
587.751006541928,nan
588.0060050979599,nan
588.2570017041357,nan
588.5020020642496,nan
589.003003155658,nan
589.2640018753074,nan
589.6500030030028,nan
590.0230030546904,nan
590.5220037096218,nan
591.0710161861474,nan
591.5780131338096,nan
592.0770011794307,nan
592.6050022953327,nan
593.1290155248587,nan
593.3650035600291,nan
593.6070030329497,nan
593.8560049146523,nan
594.128001443582,nan
594.3970030378089,nan
594.6580066949847,nan
594.9110011409794,nan
595.1540004062472,nan
595.33900414074,nan
595.6560032000351,nan
595.9170032508616,nan
596.1830008842686,nan
596.4380013866371,nan
596.9260071052402,nan
597.4390030279469,nan
597.9790018015132,nan
598.471004024184,nan
598.9800027906081,nan
599.2380019818582,nan
599.5010020565261,nan
599.7590016816771,nan
599.9480013544604,nan
600.2000016360294,nan
600.5170044517931,nan
600.7160049971131,nan
600.9770011437967,nan
601.2350007968832,nan
601.4950014914897,nan
601.7990032119169,nan
602.0610031829598,nan
602.2470021369712,nan
602.5720010821046,nan
602.8200022971159,nan
603.0750053200328,nan
603.2620041305926,nan
603.5270013103154,nan
603.7940005195817,nan
604.1170006427354,nan
604.371000780976,nan
604.616002688512,nan
605.1350010113583,nan
605.6580001990324,nan
606.1530017645462,nan
606.5890071600815,nan
607.1900005410939,nan
607.3900009886595,nan
607.6990003746506,nan
607.8780024370662,nan
608.1270059925408,nan
608.3860052139261,nan
608.6570020472838,nan
608.9940005556482,nan
609.1860011053999,nan
609.426002813924,nan
609.6710057947693,nan
609.9280046035526,nan
610.1970019490818,nan
610.4640013346145,nan
610.7260000530139,nan
610.975000447663,nan
611.2160038727233,nan
611.5210195737341,nan
611.7160152908328,nan
611.9810047330748,nan
612.5060008226599,nan
612.9930171279938,nan
613.5170062319515,nan
614.0470015835506,nan
614.5450024310987,nan
615.0450066238549,nan
615.3780036103637,nan
615.6350029318634,nan
615.8900039403122,nan
616.0760059661989,nan
616.4020083521489,nan
616.5940069390277,nan
616.8600040241677,nan
617.1210027764556,nan
617.4380034429992,nan
617.6250052436972,nan
617.8770066403721,nan
618.1320069241331,nan
618.3850073372254,nan
618.6400054009638,nan
618.8900084223135,nan
619.1470095780865,nan
619.4060066047489,nan
619.7410042788985,nan
619.9350040161925,nan
620.1950063142278,nan
620.6930101167876,nan
621.2140021570498,nan
621.7250056336579,nan
621.9710093320527,nan
622.2160122114744,nan
622.4730141693428,nan
622.7370128877881,nan
623.0070063691079,nan
623.5370022359855,nan
623.7800055632135,nan
624.022010828661,nan
624.2780072155696,nan
624.6150005037296,nan
624.8160022483403,nan
625.0720035431709,nan
625.3130008124176,nan
625.556000704011,nan
625.8140007005718,nan
626.0790017426854,nan
626.3450042365731,nan
626.6070045982799,nan
626.8620030169692,nan
627.0990010813508,nan
627.343001407725,nan
627.6000008150183,nan
627.9350009101665,nan
628.3860019950889,nan
628.8760018970578,nan
629.3920017467017,nan
629.922001071642,nan
630.425001898128,nan
630.9340012859461,nan
631.5190006151848,nan
631.953003138093,nan
632.2090019084936,nan
632.4610027244748,nan
632.7190018503323,nan
633.0380030147572,nan
633.223003736114,nan
633.4770057955915,nan
633.7330056394379,nan
633.992005549908,nan
634.2510059590861,nan
634.5050050808875,nan
634.7540078537418,nan
635.0080077489996,nan
635.2690056288038,nan
635.8510062369728,nan
636.2930096851145,nan
636.813006589566,nan
637.3460018959997,nan
637.8680028519454,nan
638.3910034408404,nan
638.9320136655934,nan
639.4190051190169,nan
639.91600523791,nan
640.1890103886045,nan
640.455015158252,nan
640.7120155437718,nan
640.9500066887414,nan
641.1950023022215,nan
641.4500011687363,nan
641.7190033906197,nan
641.9870077478361,nan
642.3070090755617,nan
642.4910067706606,nan
642.7280026531665,nan
642.9770018291724,nan
643.2430042139429,nan
643.5080044959436,nan
643.7740069658346,nan
644.0210048225172,nan
644.2670030939986,nan
644.5140023282154,nan
644.7720033996544,nan
645.2990063348038,nan
645.8110032756039,nan
646.3060010913158,nan
646.8320033386607,nan
647.341005145209,nan
647.8460019907543,nan
648.3640026537869,nan
648.6200041920126,nan
648.8750044810542,nan
649.1280021542665,nan
649.3910024675681,109.13041472114138
649.6470016308531,105.62082944228275
649.9130025223303,104.68124416342413
650.1620018208445,104.1716588845655
650.414001291756,103.91207360570687
650.6710021887191,103.90248832684826
650.9320037083611,103.89290304798962
651.1970042265048,103.913317769131
651.4520045378064,103.90373249027238
651.7000031003811,103.88414721141375
651.9480018366519,103.87456193255512
652.2010018307849,103.83497665369651
652.4620036495431,103.88539137483787
652.7190049737201,103.87580609597926
653.2290030225978,103.84622081712062
653.7350003777792,103.83663553826202
654.2650034762812,103.88705025940337
654.5350068927452,103.85746498054476
654.7800043531424,103.88787970168612
655.0250027125876,103.92829442282749
655.2720012154804,103.87870914396888
655.5370032591443,103.82912386511025
